subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
1,grate,Task B ,1,1,0,-10.1371312,0.05,2,229.278103,0,0,2
1,grate,Task B ,1,2,0,4.813940509,0.135,2,21.84581493,0,0,4
1,grate,Task B ,2,1,0,5.946900782,0.05,1,42.78876514,0,0,2
1,grate,Task B ,2,4,1,-17.31797877,0.135,2,118.3769743,0,0,4
2,grate,Task B ,1,1,0,0.584137991,0.033,2,261.61094,0,0,1
2,grate,Task B ,1,1,1,-2.95122529,0.033,1,304.883747,0,0,1
2,grate,Task B ,1,1,0,13.54354668,0.033,2,301.0843768,0,0,1
2,grate,Task B ,1,1,1,0.728009569,0.033,1,52.95414777,0,0,1
2,grate,Task B ,1,1,0,-18.67105522,0.033,2,80.65560653,0,0,1
2,grate,Task B ,2,2,0,4.452748627,0.067,1,38.76505571,0,0,3
3,grate,Task B ,1,1,0,-15.0111486,0.033,2,178.0915552,0,0,1
3,grate,Task B ,2,2,1,-12.37563753,0.033,2,3.41530268,0,0,1
3,grate,Task B ,1,1,1,-4.589705721,0.135,1,300.7610995,0,0,4
3,grate,Task B ,2,4,1,6.300376599,0.135,2,50.80803873,0,0,4
3,grate,Task B ,2,1,1,-18.16413147,0.033,2,116.7875259,0,0,1
3,grate,Task B ,2,1,0,1.327244345,0.033,1,171.4614563,0,0,1
4,grate,Task B ,1,1,0,7.289112967,0.033,2,313.8627419,0,0,1
4,grate,Task B ,1,1,0,4.105311413,0.033,2,195.0558413,0,0,1
4,grate,Task B ,2,4,1,-15.82010063,0.067,2,117.3571876,0,0,3
4,grate,Task B ,2,4,0,-3.383272195,0.067,1,321.0687085,0,0,3
4,grate,Task B ,1,1,0,-3.094200456,0.033,2,72.13212731,0,0,1
4,grate,Task B ,2,3,1,-2.895355092,0.135,2,42.88052006,0,0,4
5,grate,Task B ,1,4,1,1.361796881,0.067,1,28.42159154,0,0,3
5,grate,Task B ,1,1,1,5.14557798,0.033,1,211.2873798,0,0,1
5,grate,Task B ,2,4,0,-4.252771273,0.067,1,161.7738357,0,0,3
5,grate,Task B ,2,4,0,-0.755319596,0.135,1,312.8950709,0,0,4
5,grate,Task B ,2,4,1,7.207026434,0.135,2,168.7337743,0,0,4
5,grate,Task B ,1,4,0,1.931803725,0.135,2,289.5577823,0,0,4
6,grate,Task B ,2,1,0,-6.289372168,0.067,1,84.3620156,0,0,3
6,grate,Task B ,1,3,0,1.909040754,0.033,2,120.8205484,0,0,1
6,grate,Task B ,1,3,1,1.113734285,0.067,1,300.1114902,0,0,3
6,grate,Task B ,1,3,1,-1.451080199,0.135,1,204.1660363,0,0,4
6,grate,Task B ,1,2,1,-2.281959481,0.05,1,341.3132697,0,0,2
6,grate,Task B ,1,1,0,17.51324428,0.033,2,218.4523806,0,0,1
7,grate,Task B ,1,1,1,5.215961517,0.033,1,133.773329,0,0,1
7,grate,Task B ,2,4,1,-21.46236497,0.135,2,187.8739025,0,0,4
7,grate,Task B ,1,4,0,10.41800553,0.135,2,7.488997605,0,0,4
7,grate,Task B ,2,4,0,3.160293335,0.135,1,102.7749666,0,0,4
7,grate,Task B ,1,4,1,0.95029711,0.05,1,100.1454507,0,0,2
7,grate,Task B ,2,4,1,23.14815475,0.135,2,35.15520394,0,0,4
8,grate,Task B ,1,1,0,1.357638612,0.033,2,54.48244972,0,0,1
8,grate,Task B ,2,4,0,-3.375887672,0.135,1,26.34424343,0,0,4
8,grate,Task B ,2,4,1,23.94973497,0.135,2,52.82937246,0,0,4
8,grate,Task B ,1,4,1,4.00203816,0.135,1,75.21641951,0,0,4
8,grate,Task B ,2,4,1,-2.685460415,0.067,2,89.29837773,0,0,3
8,grate,Task B ,1,1,0,-14.00273131,0.05,2,236.8582491,0,0,2
9,grate,Task B ,1,4,1,1.259091224,0.135,1,124.3716178,0,0,4
9,grate,Task B ,1,4,1,-2.358351799,0.067,1,356.484546,0,0,3
9,grate,Task B ,1,1,1,0.911560325,0.067,1,203.1920176,0,0,3
9,grate,Task B ,1,1,1,-1.194267862,0.067,1,278.9085641,0,0,3
9,grate,Task B ,1,3,0,-7.312277388,0.067,2,314.9095941,0,0,3
9,grate,Task B ,1,1,1,-1.082321248,0.033,1,309.455699,0,0,1
10,grate,Task B ,1,2,1,-0.067994108,0.033,1,265.1883175,0,0,1
10,grate,Task B ,1,1,0,33.47738881,0.033,2,159.9523402,0,0,1
10,grate,Task B ,1,1,1,-0.930009583,0.067,1,238.0341402,0,0,3
10,grate,Task B ,1,1,1,2.720822027,0.033,1,157.4090258,0,0,1
10,grate,Task B ,1,2,0,3.464839142,0.135,2,184.6280051,0,0,4
10,grate,Task B ,1,1,1,4.351908355,0.067,1,217.3335759,0,0,3
1,grate,Task B ,2,4,1,13.4738656,0.135,2,321.2853134,0,0,4
1,grate,Task B ,1,4,0,-2.179128493,0.067,2,9.259598362,0,0,3
1,grate,Task B ,1,2,1,-3.074721561,0.05,1,148.6340035,0,0,2
1,grate,Task B ,1,2,1,-0.431140899,0.067,1,67.08546042,0,0,3
1,grate,Task B ,1,2,0,-1.541435717,0.067,2,332.5905765,0,0,3
1,grate,Task B ,1,3,1,3.156543229,0.135,1,15.12955341,0,0,4
2,grate,Task B ,1,1,0,16.88361069,0.033,2,282.8114483,0,0,1
2,grate,Task B ,1,3,1,0.745745149,0.135,1,286.2461497,0,0,4
2,grate,Task B ,2,1,0,-6.720025449,0.05,1,31.15852593,0,0,2
2,grate,Task B ,2,2,1,-13.01464069,0.033,2,55.50006262,0,0,1
2,grate,Task B ,1,4,1,0.207961421,0.135,1,53.73448428,0,0,4
2,grate,Task B ,1,3,1,-1.379207263,0.135,1,351.7454141,0,0,4
3,grate,Task B ,2,2,1,3.674293936,0.05,2,85.06601932,0,0,2
3,grate,Task B ,2,2,0,-6.279289471,0.05,1,266.2036517,0,0,2
3,grate,Task B ,2,4,0,10.65133744,0.067,1,339.1055651,0,0,3
3,grate,Task B ,2,2,0,6.428731703,0.033,1,333.5687462,0,0,1
3,grate,Task B ,1,2,0,-8.367705613,0.05,2,180.3637041,0,0,2
3,grate,Task B ,2,1,0,3.312575181,0.033,1,274.1255028,0,0,1
4,grate,Task B ,1,1,0,13.47123301,0.067,2,215.8084973,0,0,3
4,grate,Task B ,1,3,0,5.885573102,0.067,2,3.874005935,0,0,3
4,grate,Task B ,2,4,1,5.511821514,0.067,2,122.2183737,0,0,3
4,grate,Task B ,2,3,1,0.365094816,0.067,2,350.9319681,0,0,3
4,grate,Task B ,1,3,0,-5.700138483,0.067,2,184.4960797,0,0,3
4,grate,Task B ,1,3,1,-3.448875063,0.067,1,190.3163078,0,0,3
5,grate,Task B ,1,1,1,2.319192173,0.05,1,221.9736406,0,0,2
5,grate,Task B ,1,3,0,3.58061188,0.05,2,7.291230558,0,0,2
5,grate,Task B ,2,4,1,-3.531055301,0.135,2,252.1956953,0,0,4
5,grate,Task B ,1,4,1,-0.774391427,0.135,1,21.45330327,0,0,4
5,grate,Task B ,1,3,1,-2.910951044,0.05,1,242.5068957,0,0,2
5,grate,Task B ,2,4,0,3.722661918,0.033,1,107.8118676,0,0,1
6,grate,Task B ,2,3,1,-17.60128924,0.135,2,149.8627437,0,0,4
6,grate,Task B ,2,3,1,-1.257801487,0.067,2,138.4870907,0,0,3
6,grate,Task B ,1,3,0,-0.049258765,0.033,2,73.67856855,0,0,1
6,grate,Task B ,1,2,0,-9.565656811,0.033,2,344.1723603,0,0,1
6,grate,Task B ,1,3,0,-9.422836956,0.05,2,19.96800665,0,0,2
6,grate,Task B ,1,3,1,1.782048438,0.067,1,154.8975379,0,0,3
7,grate,Task B ,1,2,0,1.596201369,0.135,2,294.7473229,0,0,4
7,grate,Task B ,2,4,0,-0.616360114,0.033,1,14.85978661,0,0,1
7,grate,Task B ,2,4,0,-3.539140497,0.067,1,156.5537064,0,0,3
7,grate,Task B ,1,1,1,1.614614571,0.067,1,161.5905393,0,0,3
7,grate,Task B ,1,4,1,-3.435120448,0.135,1,34.35764794,0,0,4
7,grate,Task B ,2,1,0,-0.680676294,0.05,1,226.3974277,0,0,2
8,grate,Task B ,1,1,0,-9.019688851,0.05,2,107.6540424,0,0,2
8,grate,Task B ,2,4,1,-5.224468181,0.135,2,132.7658072,0,0,4
8,grate,Task B ,2,2,0,-5.329311019,0.05,1,284.7597245,0,0,2
8,grate,Task B ,1,4,1,1.089315238,0.135,1,102.4005527,0,0,4
8,grate,Task B ,1,3,0,5.472951124,0.067,2,338.8742804,0,0,3
8,grate,Task B ,2,4,0,3.629917367,0.135,1,52.53619539,0,0,4
9,grate,Task B ,2,1,1,25.25472141,0.05,2,118.9227062,0,0,2
9,grate,Task B ,2,1,0,-0.880849887,0.05,1,152.7727174,0,0,2
9,grate,Task B ,1,1,0,-1.707786741,0.05,2,14.20094821,0,0,2
9,grate,Task B ,1,4,0,4.177625579,0.135,2,179.6550764,0,0,4
