subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
2,audio,Task B ,1,2,0,0,0.00019,2,336.0814969,0,3169.010793,3
2,audio,Task B ,1,1,1,0,4.00E-05,1,23.44009215,0,2611.298911,1
2,audio,Task B ,1,2,0,0,9.00E-05,2,190.6542831,0,2778.272297,2
2,audio,Task B ,1,3,1,0,0.00019,1,269.9679015,0,2667.598853,3
2,audio,Task B ,1,2,0,0,0.00041,2,166.9142048,0,2701.700541,4
3,audio,Task B ,2,4,1,0,0.00019,2,306.2741127,0,3509.905871,3
3,audio,Task B ,1,1,0,0,4.00E-05,2,103.3528135,0,2455.410973,1
3,audio,Task B ,1,3,1,0,4.00E-05,1,175.6012921,0,2826.99911,1
3,audio,Task B ,2,4,1,0,0.00019,2,16.81725284,0,2083.762286,3
3,audio,Task B ,2,2,0,0,9.00E-05,1,154.6767457,0,2856.416634,2
3,audio,Task B ,1,2,0,0,0.00019,2,140.8015165,0,2915.735588,3
4,audio,Task B ,2,2,1,0,0.00041,2,170.6290153,0,3445.100157,4
4,audio,Task B ,1,2,1,0,0.00041,1,174.8113215,0,2775.149114,4
4,audio,Task B ,1,1,0,0,9.00E-05,2,73.40202847,0,2743.386449,2
4,audio,Task B ,1,1,0,0,4.00E-05,2,276.931116,0,2500.916652,1
4,audio,Task B ,1,3,1,0,0.00041,1,255.3593644,0,2749.951425,4
4,audio,Task B ,1,3,1,0,0.00019,1,254.971243,0,2733.68224,3
5,audio,Task B ,1,3,1,0,0.00041,1,178.4943046,0,2741.849162,4
5,audio,Task B ,1,4,1,0,0.00041,1,221.0952473,0,2769.62033,4
5,audio,Task B ,2,3,1,0,0.00041,2,219.4383825,0,3536.545738,4
5,audio,Task B ,2,2,1,0,0.00041,2,85.57632081,0,2358.169601,4
5,audio,Task B ,2,4,1,0,0.00019,2,98.17751977,0,1628.673089,3
5,audio,Task B ,2,4,1,0,0.00041,2,119.4479452,0,3719.943395,4
6,audio,Task B ,1,3,0,0,0.00019,2,337.4767851,0,2199.69168,3
6,audio,Task B ,2,3,1,0,0.00041,2,10.20138703,0,2602.219187,4
6,audio,Task B ,1,2,0,0,0.00019,2,156.0500426,0,2434.267723,3
6,audio,Task B ,2,2,1,0,9.00E-05,2,270.3714851,0,2208.659796,2
6,audio,Task B ,1,2,0,0,4.00E-05,2,12.13297716,0,3380.636142,1
6,audio,Task B ,2,3,1,0,0.00019,2,143.7454934,0,2359.827783,3
7,audio,Task B ,1,1,1,0,4.00E-05,1,107.9103553,0,2570.278401,1
7,audio,Task B ,1,1,1,0,9.00E-05,1,348.0492874,0,2781.313567,2
7,audio,Task B ,1,1,1,0,4.00E-05,1,191.2109972,0,2534.233922,1
7,audio,Task B ,1,1,1,0,0.00041,1,133.0619592,0,2697.892747,4
7,audio,Task B ,1,1,0,0,4.00E-05,2,199.8846072,0,2675.262291,1
7,audio,Task B ,1,4,1,0,9.00E-05,1,80.4496936,0,2767.662423,2
8,audio,Task B ,1,2,0,0,0.00041,2,24.76487511,0,2193.540332,4
8,audio,Task B ,1,1,1,0,9.00E-05,1,186.1808757,0,2623.116696,2
8,audio,Task B ,2,1,0,0,4.00E-05,1,343.7141308,0,2773.18017,1
8,audio,Task B ,1,1,1,0,9.00E-05,1,321.5547442,0,2809.294393,2
8,audio,Task B ,1,1,0,0,0.00019,2,179.0601029,0,2329.520923,3
8,audio,Task B ,1,2,1,0,0.00019,1,125.2725066,0,2885.297375,3
9,audio,Task B ,1,1,1,0,0.00019,1,330.6270988,0,2609.902147,3
9,audio,Task B ,2,4,1,0,0.00041,2,25.30695009,0,3104.791127,4
9,audio,Task B ,1,1,1,0,0.00019,1,214.4553325,0,2630.472874,3
9,audio,Task B ,1,1,0,0,4.00E-05,2,312.9595873,0,3463.938843,1
9,audio,Task B ,1,1,1,0,0.00019,1,70.33078134,0,2435.194056,3
9,audio,Task B ,1,1,1,0,9.00E-05,1,150.2795712,0,2568.077029,2
10,audio,Task B ,1,1,1,0,9.00E-05,1,344.9601563,0,2620.190743,2
10,audio,Task B ,1,1,0,0,9.00E-05,2,126.7195017,0,2700.502761,2
10,audio,Task B ,2,1,0,0,0.00041,1,274.725001,0,2772.615378,4
10,audio,Task B ,1,1,1,0,0.00019,1,124.0374547,0,2719.700676,3
10,audio,Task B ,1,2,1,0,0.00019,1,138.5812668,0,2571.633055,3
10,audio,Task B ,1,1,1,0,4.00E-05,1,106.1311978,0,2685.457563,1
1,audio,Task B ,2,3,1,0,4.00E-05,2,53.13720407,0,1763.442792,1
1,audio,Task B ,1,2,1,0,0.00019,1,36.54282888,0,2680.155044,3
1,audio,Task B ,2,4,1,0,0.00041,2,109.7722742,0,2306.217943,4
1,audio,Task B ,2,1,1,0,9.00E-05,2,16.34885549,0,2527.558805,2
1,audio,Task B ,1,2,1,0,0.00019,1,114.5228057,0,2788.830627,3
1,audio,Task B ,1,2,0,0,9.00E-05,2,348.1987365,0,3021.358785,2
2,audio,Task B ,2,1,1,0,0.00019,2,26.49982536,0,2347.862784,3
2,audio,Task B ,2,1,0,0,0.00041,1,89.98792724,0,2579.741883,4
2,audio,Task B ,1,3,0,0,4.00E-05,2,290.2120527,0,2832.829101,1
2,audio,Task B ,1,1,0,0,4.00E-05,2,224.415097,0,2361.235947,1
2,audio,Task B ,2,2,0,0,0.00041,1,126.3202374,0,2627.196468,4
2,audio,Task B ,1,2,1,0,4.00E-05,1,126.2821522,0,2979.90267,1
3,audio,Task B ,2,4,1,0,9.00E-05,2,70.83671944,0,2024.365264,2
3,audio,Task B ,2,4,1,0,0.00041,2,6.919552583,0,2465.87938,4
3,audio,Task B ,1,1,1,0,9.00E-05,1,255.2848362,0,2517.533917,2
3,audio,Task B ,2,2,0,0,9.00E-05,1,104.3504518,0,2961.951532,2
3,audio,Task B ,1,3,1,0,9.00E-05,1,127.6816569,0,2700.155878,2
3,audio,Task B ,2,2,1,0,0.00019,2,136.6595221,0,2333.942214,3
4,audio,Task B ,1,1,0,0,4.00E-05,2,96.40913806,0,2117.750291,1
4,audio,Task B ,1,3,0,0,0.00019,2,171.6245368,0,2748.668143,3
4,audio,Task B ,1,2,1,0,9.00E-05,1,333.5849354,0,2775.972881,2
4,audio,Task B ,1,1,0,0,4.00E-05,2,100.5554234,0,2677.139046,1
4,audio,Task B ,1,3,1,0,0.00019,1,302.9112244,0,2760.008484,3
4,audio,Task B ,1,1,0,0,4.00E-05,2,327.0153007,0,3159.64758,1
5,audio,Task B ,2,4,0,0,9.00E-05,1,203.4557729,0,2922.525646,2
5,audio,Task B ,1,1,0,0,4.00E-05,2,169.0610787,0,3210.835711,1
5,audio,Task B ,1,3,0,0,0.00041,2,133.7326265,0,2732.493456,4
5,audio,Task B ,2,4,0,0,0.00041,1,49.95904952,0,2576.146834,4
5,audio,Task B ,2,1,0,0,9.00E-05,1,297.4874859,0,2730.069796,2
5,audio,Task B ,2,4,1,0,0.00041,2,26.65206465,0,3584.71061,4
6,audio,Task B ,1,2,0,0,9.00E-05,2,131.1759697,0,2156.856521,2
6,audio,Task B ,1,3,1,0,0.00019,1,257.317311,0,2393.835883,3
6,audio,Task B ,1,3,1,0,9.00E-05,1,173.2889488,0,2495.567212,2
6,audio,Task B ,1,3,1,0,0.00041,1,116.4318331,0,2694.049955,4
6,audio,Task B ,1,2,0,0,9.00E-05,2,95.99765468,0,3254.794429,2
6,audio,Task B ,1,2,0,0,9.00E-05,2,202.2100775,0,3372.816277,2
7,audio,Task B ,2,4,1,0,0.00019,2,297.0875609,0,2363.092643,3
7,audio,Task B ,2,4,0,0,0.00041,1,93.93429542,0,2868.922873,4
7,audio,Task B ,1,1,0,0,0.00019,2,359.0255189,0,1810.500005,3
7,audio,Task B ,1,1,1,0,4.00E-05,1,163.1829782,0,2711.669722,1
7,audio,Task B ,1,4,1,0,0.00041,1,242.2199862,0,2743.372088,4
7,audio,Task B ,1,1,1,0,4.00E-05,1,131.0181039,0,2719.495817,1
8,audio,Task B ,2,4,0,0,0.00041,1,116.9293796,0,2741.407545,4
8,audio,Task B ,2,1,0,0,0.00019,1,298.6396309,0,2636.625385,3
8,audio,Task B ,1,1,1,0,9.00E-05,1,224.7151291,0,2683.284545,2
8,audio,Task B ,2,2,1,0,0.00019,2,149.0570427,0,2921.094713,3
8,audio,Task B ,1,1,0,0,4.00E-05,2,292.8700408,0,2795.935897,1
8,audio,Task B ,2,4,0,0,0.00041,1,123.6517297,0,2783.265102,4
9,audio,Task B ,1,1,0,0,9.00E-05,2,21.48077968,0,1984.400735,2
9,audio,Task B ,2,4,1,0,0.00019,2,59.86290221,0,3506.738899,3
9,audio,Task B ,2,1,1,0,4.00E-05,2,160.4568098,0,2902.635376,1
9,audio,Task B ,1,1,1,0,4.00E-05,1,318.2646843,0,2736.271412,1
9,audio,Task B ,2,1,0,0,9.00E-05,1,233.4864925,0,2594.774899,2
9,audio,Task B ,2,1,0,0,9.00E-05,1,232.5310988,0,2753.763953,2
10,audio,Task B ,1,1,1,0,0.00041,1,247.6777234,0,2766.225304,4
10,audio,Task B ,1,1,0,0,4.00E-05,2,41.10078089,0,2598.52517,1
10,audio,Task B ,1,2,1,0,0.00041,1,333.6606637,0,2916.500572,4
10,audio,Task B ,1,1,1,0,9.00E-05,1,239.8663389,0,2723.770892,2
10,audio,Task B ,2,2,1,0,9.00E-05,2,321.1919522,0,2891.376864,2
10,audio,Task B ,1,1,0,0,0.00019,2,8.639782035,0,2696.680198,3
1,audio,Task B ,1,2,1,0,0.00041,1,177.4301497,0,2793.964241,4
1,audio,Task B ,1,2,0,0,0.00041,2,310.4445806,0,2872.421479,4
1,audio,Task B ,2,4,1,0,9.00E-05,2,175.0716715,0,1828.199657,2
1,audio,Task B ,2,2,1,0,9.00E-05,2,109.5242607,0,2553.286381,2
1,audio,Task B ,2,1,0,0,4.00E-05,1,322.2083917,0,2565.703099,1
1,audio,Task B ,2,4,1,0,0.00019,2,310.2851409,0,3539.101813,3
2,audio,Task B ,2,2,0,0,4.00E-05,1,123.3604498,0,2744.006952,1
2,audio,Task B ,2,2,0,0,9.00E-05,1,101.1219925,0,2920.44097,2
2,audio,Task B ,2,4,1,0,0.00019,2,92.26705253,0,3135.202245,3
2,audio,Task B ,1,2,1,0,9.00E-05,1,177.3764041,0,2509.173512,2
2,audio,Task B ,1,2,0,0,0.00041,2,330.5578619,0,3240.982462,4
2,audio,Task B ,2,2,1,0,0.00041,2,336.1678191,0,2385.407681,4
3,audio,Task B ,1,1,1,0,0.00019,1,224.4842769,0,2533.036971,3
3,audio,Task B ,2,4,0,0,9.00E-05,1,145.034532,0,2564.811224,2
3,audio,Task B ,2,1,1,0,4.00E-05,2,187.9958086,0,2000.741246,1
3,audio,Task B ,1,1,0,0,4.00E-05,2,287.1560202,0,2447.479051,1
3,audio,Task B ,2,4,1,0,0.00019,2,271.2981724,0,3275.324121,3
3,audio,Task B ,2,1,1,0,0.00041,2,250.2658079,0,3160.709589,4
4,audio,Task B ,1,4,1,0,0.00041,1,224.6587279,0,2698.274993,4
4,audio,Task B ,2,4,1,0,0.00019,2,312.1341107,0,3401.078799,3
4,audio,Task B ,1,1,0,0,4.00E-05,2,66.89482203,0,2732.184483,1
4,audio,Task B ,2,2,1,0,9.00E-05,2,144.2456522,0,2957.179027,2
4,audio,Task B ,2,2,1,0,9.00E-05,2,14.0196542,0,2342.232212,2
4,audio,Task B ,1,1,1,0,0.00019,1,293.4815966,0,2626.171277,3
5,audio,Task B ,2,1,0,0,9.00E-05,1,78.17504205,0,2860.741942,2
5,audio,Task B ,1,1,1,0,9.00E-05,1,172.6899665,0,2580.998524,2
5,audio,Task B ,1,4,1,0,0.00041,1,178.1547919,0,2665.349365,4
5,audio,Task B ,1,1,1,0,9.00E-05,1,180.3241555,0,2868.372605,2
