subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
6,bimodal,Task B ,2,1,0,1.909445359,2,1,51.41086721,1,2866.363652,2
6,bimodal,Task B ,2,2,0,-1.553216454,3,1,199.2328869,2,2744.156135,3
6,bimodal,Task B ,1,2,1,-3.18935895,1,1,341.2073903,3,2400.591986,1
6,bimodal,Task B ,1,2,0,1.050692657,1,2,210.1607295,4,2506.465974,1
6,bimodal,Task B ,2,2,1,-7.048928007,4,2,189.3855754,5,2573.122213,4
6,bimodal,Task B ,2,2,1,17.83127107,4,2,125.5706328,6,2503.093363,4
7,bimodal,Task B ,1,1,0,6.980366395,3,2,116.7408482,1,2281.656528,3
7,bimodal,Task B ,2,1,1,-26.87317584,3,2,318.9479645,2,2714.10979,3
7,bimodal,Task B ,1,1,1,1.567009956,2,1,202.6582766,3,2746.756394,2
7,bimodal,Task B ,1,1,1,3.074121834,3,1,279.0837948,4,2645.080261,3
7,bimodal,Task B ,1,1,1,-3.565894051,1,1,233.9011789,5,2441.051046,1
7,bimodal,Task B ,1,4,1,-1.460966913,3,1,55.43005846,6,2773.442321,3
8,bimodal,Task B ,2,4,0,3.110005409,4,1,284.0052925,1,2790.745591,4
8,bimodal,Task B ,1,4,0,5.694948668,3,2,328.2807007,2,3650.695499,3
8,bimodal,Task B ,1,4,1,-1.124401744,4,1,299.9945208,3,2740.917434,4
8,bimodal,Task B ,2,1,1,5.724974513,4,2,320.0717278,4,3046.368931,4
8,bimodal,Task B ,1,1,1,2.893902494,3,1,227.0659599,5,2580.666944,3
8,bimodal,Task B ,1,4,1,0.751386445,2,1,169.4440402,6,2733.268943,2
9,bimodal,Task B ,1,2,0,3.771648733,2,2,3.627312866,1,2603.519815,2
9,bimodal,Task B ,1,1,1,-0.040678164,1,1,147.7725952,2,2702.637533,1
9,bimodal,Task B ,2,3,1,5.321939059,3,2,41.23086767,3,3627.967655,3
9,bimodal,Task B ,1,2,0,5.991228231,2,2,106.9869994,4,3118.096068,2
9,bimodal,Task B ,1,2,1,6.064460705,3,1,157.799497,5,2583.22882,3
9,bimodal,Task B ,1,2,1,2.473630046,3,1,143.7237691,6,2647.315553,3
10,bimodal,Task B ,1,1,0,-7.261583016,1,2,357.8056783,1,3010.971678,1
10,bimodal,Task B ,1,1,0,13.43216396,1,2,336.0778286,2,1798.524827,1
10,bimodal,Task B ,1,1,1,2.18955271,1,1,238.9174118,3,2798.728211,1
10,bimodal,Task B ,1,2,1,-2.990084063,1,1,287.064411,4,2609.431922,1
10,bimodal,Task B ,1,2,1,1.16510169,3,1,226.8936281,5,2728.092067,3
10,bimodal,Task B ,1,1,1,4.733422938,3,1,177.3914351,6,2754.485584,3
1,bimodal,Task B ,2,4,1,15.72429616,3,2,197.9110192,1,2348.37804,3
1,bimodal,Task B ,1,2,1,-2.972641513,4,1,221.2286153,2,2608.132496,4
1,bimodal,Task B ,1,3,1,-1.347723188,2,1,109.405858,3,2528.325116,2
1,bimodal,Task B ,1,3,1,-1.918785605,3,1,273.6309556,4,2442.310011,3
1,bimodal,Task B ,1,3,1,4.537409229,1,1,57.17067913,5,2659.21924,1
1,bimodal,Task B ,2,2,1,2.151296347,4,2,31.10916121,6,3521.429599,4
2,bimodal,Task B ,2,3,1,2.285082711,2,2,1.975433248,1,2758.440206,2
2,bimodal,Task B ,1,1,0,5.583058762,1,2,122.6362831,2,2080.012796,1
2,bimodal,Task B ,2,1,1,1.825616292,1,2,52.72142558,3,3093.417133,1
2,bimodal,Task B ,1,2,0,-5.992386754,2,2,27.83235674,4,2240.585513,2
2,bimodal,Task B ,1,2,1,-1.587654498,2,1,129.7374601,5,2768.188275,2
2,bimodal,Task B ,1,2,1,-0.005226189,1,1,333.6217206,6,2799.36929,1
3,bimodal,Task B ,1,4,1,1.187046562,3,1,42.59880519,1,2792.472593,3
3,bimodal,Task B ,1,2,1,1.345797593,3,1,238.4181652,2,2576.6862,3
3,bimodal,Task B ,2,2,0,5.890301101,1,1,195.9910402,3,2843.437677,1
3,bimodal,Task B ,2,2,1,10.53979072,1,2,318.8128228,4,2430.307692,1
3,bimodal,Task B ,1,3,1,-5.57184801,2,1,72.82743427,5,2629.481502,2
3,bimodal,Task B ,2,1,1,4.304824341,2,2,214.3594437,6,2436.268213,2
4,bimodal,Task B ,2,1,1,7.797554486,1,2,190.0192481,1,3081.77809,1
4,bimodal,Task B ,1,4,1,0.901155276,4,1,44.75125874,2,2692.510849,4
4,bimodal,Task B ,1,2,1,-2.011181382,2,1,1.451317268,3,2690.694947,2
4,bimodal,Task B ,2,4,1,-22.76580858,4,2,16.67586603,4,2685.218972,4
4,bimodal,Task B ,2,4,1,-4.663430469,3,2,51.09416873,5,3162.305376,3
4,bimodal,Task B ,2,2,1,-7.175661178,3,2,45.52712085,6,3075.064514,3
5,bimodal,Task B ,2,2,1,-11.4612187,2,2,244.9609883,1,3401.482521,2
