"","subject_name","stim_type","task_type","resp_category","resp_confidence","resp_correct","stim_orientation","stim_reliability","stim_category","stim_phase","block_number","stim_frequency","stim_reliability_level","cat1_evidence","cat2_evidence","evi_cat2","evi_allcat","visual_mostevidence","r"
"20168",2,"bimodal","Task B ",1,2,1,0.0616598902238566,2,1,63.92806189,2,0.0370596689865836,2,0.000413904928820679,2.64842918252514e-05,0.0601383743825658,0.939861625617434,1,3
"20169",2,"bimodal","Task B ",1,2,0,-0.947847898019254,3,2,133.9374867,3,0.0703639040269707,3,1.04170222283122e-05,2.10397730885962e-05,0.668846679282904,0.668846679282904,0,3
"20170",2,"bimodal","Task B ",2,1,0,0.570244249187305,1,1,310.1214214,4,0.390689798059915,1,5.59547285713276e-05,2.3370708408806e-05,0.294618085931995,0.705381914068005,1,5
"20171",2,"bimodal","Task B ",1,3,0,-0.287897074359703,4,2,129.4837095,5,-0.698339003679981,4,3.92225979258865e-05,2.28574668986873e-05,0.368193347788506,0.631806652211494,0,2
"20172",2,"bimodal","Task B ",2,4,1,-2.98819789787217,4,2,136.1568152,6,0.914811387455704,4,1.11779671769282e-21,2.11326886285331e-06,0.999999999999999,0.999999999999999,0,8
"20173",3,"bimodal","Task B ",2,3,1,1.51817325860086,3,2,308.2041078,1,-0.649568622974047,3,4.6737363703532e-09,1.29952934389789e-05,0.999640480909889,0.999640480909889,0,7
"20174",3,"bimodal","Task B ",1,3,0,-0.833025001621857,4,2,236.2388149,2,0.141945282762306,4,2.26942260512914e-05,2.20890372865602e-05,0.493243136837019,0.506756863162981,1,2
"20175",3,"bimodal","Task B ",1,4,1,-0.248093701309729,4,1,135.3792284,3,0.191414891201838,4,0.000284282666285935,2.58697049798187e-05,0.083409663689633,0.916590336310367,1,1
"20176",3,"bimodal","Task B ",2,4,1,-1.53959819462256,2,2,87.24845835,4,-2.00366872491042,2,1.08302332801218e-15,5.00146161984275e-06,0.999999999783459,0.999999999783459,1,8
"20177",3,"bimodal","Task B ",2,4,1,-1.70015605094672,3,2,221.5365063,5,3.88546096304604,3,5.68334591927941e-37,2.33934800490733e-07,1,1,1,8
"20178",3,"bimodal","Task B ",2,4,1,1.9164336676708,3,2,94.30406871,6,-0.934287008009373,3,2.34107002392018e-12,8.08203035983608e-06,0.999999710336482,0.999999710336482,0,8
"20179",4,"bimodal","Task B ",1,3,0,0.520637586315651,1,2,243.6316909,1,-2.75123881859332,1,1.83985993889811e-18,3.35723022940095e-06,0.999999999999452,0.999999999999452,1,2
"20180",4,"bimodal","Task B ",1,2,1,-0.120556589907497,2,1,151.0315484,2,-0.0924863180020332,2,0.000387947035041588,2.6377300959542e-05,0.0636634121329288,0.936336587867071,1,3
"20181",4,"bimodal","Task B ",1,2,1,-0.156827180737574,3,1,221.6045911,3,-0.0481494796157341,3,0.000382466901163725,2.63538575019674e-05,0.0644631099163874,0.935536890083613,1,3
"20182",4,"bimodal","Task B ",1,2,0,-0.656086178342871,2,2,9.206752957,4,-0.672209470568112,2,1.09620952639656e-05,2.11069472861296e-05,0.658172044056455,0.658172044056455,1,3
"20183",4,"bimodal","Task B ",1,3,1,-0.0293067958009458,4,1,226.1602583,5,-0.0155728284204281,4,0.0004230711990963,2.65205739439412e-05,0.0589881210783797,0.94101187892162,1,2
"20184",4,"bimodal","Task B ",2,2,0,0.407463242178691,2,1,230.0806542,6,-0.13181330136422,2,0.000194406241122819,2.5262508052909e-05,0.115002740024253,0.884997259975747,1,6
"20185",5,"bimodal","Task B ",2,4,1,-1.20012732211086,4,2,265.1929879,1,0.803362499889073,4,7.38044928157722e-08,1.54414205872473e-05,0.995243092353806,0.995243092353806,0,8
"20186",5,"bimodal","Task B ",1,4,0,0.0945787193178017,1,2,160.7811682,2,0.285585713647231,1,0.000287565203010534,2.58882740931069e-05,0.0825904830672755,0.917409516932724,0,1
"20187",5,"bimodal","Task B ",1,4,1,-0.147197385560085,4,1,345.1893305,3,-0.302893808347422,4,0.000266052409207221,2.57627682613745e-05,0.0882845384700631,0.911715461529937,0,1
"20188",5,"bimodal","Task B ",1,1,1,-0.566322583768816,2,1,228.5941239,4,0.109235526619575,2,0.000109306427690197,2.43695457275868e-05,0.182303110308563,0.817696889691437,1,4
"20189",5,"bimodal","Task B ",2,4,1,-0.914876404589108,4,2,74.61779305,5,-1.16620477437549,4,4.46232967547986e-08,1.49633791533271e-05,0.997026699795444,0.997026699795444,1,8
"20190",5,"bimodal","Task B ",1,1,1,0.0974804162297875,4,1,357.5385175,6,0.0807151980365592,4,0.000394678947365734,2.64056781094337e-05,0.0627087205561984,0.937291279443802,1,4
"20191",6,"bimodal","Task B ",1,2,0,-1.61116561849218,2,2,108.6017327,1,-1.91345091345763,2,1.8919866925071e-15,5.17892303705937e-06,0.999999999634676,0.999999999634676,1,3
"20192",6,"bimodal","Task B ",2,2,1,0.515838614524518,4,2,134.9640607,2,1.978023806783,4,9.01053790045928e-12,8.79233034723517e-06,0.999998975183107,0.999998975183107,1,6
"20193",6,"bimodal","Task B ",2,2,1,0.429207160723667,4,2,70.30641411,3,-1.28931324674866,4,1.75953416170995e-07,1.63030715181433e-05,0.989322583291648,0.989322583291648,1,6
"20194",6,"bimodal","Task B ",2,2,0,-0.477998219520965,2,1,87.8800223,4,0.453618264910622,2,7.0166078009877e-05,2.37036391665357e-05,0.252516358624887,0.747483641375113,1,6
"20195",6,"bimodal","Task B ",1,2,0,1.11917428073349,4,2,350.3389066,5,-1.2231623731072,4,4.06448506806435e-09,1.28823449196901e-05,0.999684591344229,0.999684591344229,1,3
