"","subject_name","stim_type","task_type","resp_category","resp_confidence","resp_correct","stim_orientation","stim_reliability","stim_category","stim_phase","block_number","stim_frequency","stim_reliability_level","cat1_evidence","cat2_evidence","evi_cat2","evi_allcat","visual_mostevidence","r"
"42",7,"grate","Task B ",2,4,0,0.110419286803929,0.067,1,333.4286156,0,0,3,0.126458838276059,0.0331408652818708,0.207649917531593,0.792350082468407,0,8
"43",8,"grate","Task B ",1,2,1,0.0918666129398586,0.135,1,318.5441173,0,0,4,0.128465397274578,0.0331734892892536,0.205232107164715,0.794767892835285,0,3
"44",8,"grate","Task B ",2,3,1,-0.0480816133517677,0.067,2,308.2087271,0,0,3,0.131558452673072,0.0332228542845922,0.201617858833513,0.798382141166486,0,7
"45",8,"grate","Task B ",2,4,0,-0.542188315150391,0.135,1,188.0925829,0,0,4,0.0374220809575483,0.0307123122767572,0.450760780552364,0.549239219447636,0,8
"46",8,"grate","Task B ",2,3,1,1.02325441293679,0.135,2,329.703987,0,0,4,0.00153056636295432,0.0251504221663555,0.942634570631709,0.942634570631709,0,7
"47",8,"grate","Task B ",2,2,1,-0.738448337003598,0.05,2,31.16274569,0,0,2,0.0127160821137345,0.0287087379955946,0.693032291264658,0.693032291264658,0,6
"48",8,"grate","Task B ",2,4,0,-0.386899593772485,0.135,1,96.23701407,0,0,4,0.069589574604979,0.0319264793868714,0.314496851792865,0.685503148207135,0,8
"49",9,"grate","Task B ",2,2,1,-0.528552598047673,0.033,2,177.6850894,0,0,1,0.0398452155169606,0.0308329820681958,0.43624460048018,0.56375539951982,0,6
"50",9,"grate","Task B ",1,2,0,-3.85107087603378,0.05,2,281.1433965,0,0,2,3.32070786931337e-29,0.000625992220466193,1,1,0,3
"51",9,"grate","Task B ",1,1,1,-0.00911064201942505,0.05,1,31.55492571,0,0,2,0.13291003600183,0.0332440846933046,0.200079808759616,0.799920191240384,0,4
"52",9,"grate","Task B ",2,2,0,-0.158912945207328,0.067,1,247.9893892,0,0,3,0.119021784416706,0.033015560349904,0.217154281407542,0.782845718592458,0,6
"53",9,"grate","Task B ",1,1,1,-0.529866980155571,0.033,1,235.8461688,0,0,1,0.0396077124918186,0.0308214633291239,0.437623512839106,0.562376487160894,0,4
"54",9,"grate","Task B ",1,1,1,0.0871235853963307,0.033,1,178.9214591,0,0,1,0.12892247172455,0.033180853881353,0.204689532169258,0.795310467830742,0,4
"55",10,"grate","Task B ",1,1,0,2.06605333436633,0.067,2,202.7937577,0,0,3,1.59688859714074e-09,0.0106340006570886,0.999999849831836,0.999999849831836,0,4
"56",10,"grate","Task B ",1,1,0,-0.0639778860355281,0.033,2,346.1444089,0,0,1,0.130522838648987,0.0332064482408732,0.202813124466919,0.797186875533081,0,4
"57",10,"grate","Task B ",2,3,1,-2.08076295362606,0.067,2,6.986621774,0,0,3,1.14408937728984e-09,0.0104146760609516,0.999999890146439,0.999999890146439,0,7
"58",10,"grate","Task B ",1,1,0,0.0372407961564188,0.05,2,281.6164114,0,0,2,0.132277099043268,0.0332341679644477,0.200797012585847,0.799202987414153,0,4
"59",10,"grate","Task B ",1,1,0,1.35938807896151,0.033,2,306.5406855,0,0,1,4.99329068250648e-05,0.0203067862362545,0.997547104399579,0.997547104399579,0,4
"60",10,"grate","Task B ",1,1,1,-0.315738855571648,0.033,1,70.39694387,0,0,1,0.0863065654651626,0.0323589751671519,0.272690580557133,0.727309419442867,0,4
"61",1,"grate","Task B ",1,4,0,0.600958642865366,0.135,2,279.1872459,0,0,4,0.0286337790639574,0.0302027811623865,0.513333564134215,0.513333564134215,0,1
"62",1,"grate","Task B ",1,3,1,0.441418417911453,0.067,1,37.21191896,0,0,3,0.0581912879976242,0.0315715309658142,0.351721696470715,0.648278303529285,0,2
"63",1,"grate","Task B ",1,1,1,-0.183974728663373,0.033,1,102.1497629,0,0,1,0.114672638807814,0.0329388366882497,0.223145501239354,0.776854498760646,0,4
"64",1,"grate","Task B ",1,4,1,-0.0106796795191239,0.135,1,206.5617444,0,0,4,0.132888732972192,0.0332437516423944,0.200103861201602,0.799896138798398,0,1
"65",1,"grate","Task B ",2,1,0,0.114455029330241,0.135,1,232.4334097,0,0,4,0.125977347817279,0.033132964707114,0.208238951840626,0.791761048159374,0,5
"66",1,"grate","Task B ",2,1,0,0.637247787429264,0.05,1,97.30515958,0,0,2,0.0236381269278274,0.0298430244924339,0.558010134410231,0.558010134410231,0,5
"67",2,"grate","Task B ",1,1,1,-0.515589303064465,0.067,1,128.7275263,0,0,3,0.0422318058060385,0.0309452857492012,0.422882149201589,0.577117850798411,0,4
"68",2,"grate","Task B ",1,4,1,0.173355199249898,0.135,1,16.06141588,0,0,4,0.117279254120911,0.0329851409168141,0.219514016667307,0.780485983332693,0,1
