"","subject_name","stim_type","task_type","resp_category","resp_confidence","resp_correct","stim_orientation","stim_reliability","stim_category","stim_phase","block_number","stim_frequency","stim_reliability_level","cat1_evidence","cat2_evidence","evi_cat2","evi_allcat","visual_mostevidence","r"
"45",8,"audio","Task B ",2,4,1,0,0.00041,2,34.8786048,0,1.32151687123035,4,2.31870632798476e-06,0.000507887959799605,0.995455358618531,0.995455358618531,0,8
"46",8,"audio","Task B ",1,1,1,0,4e-05,1,166.1375762,0,-0.60118047159694,1,0.000685286976535382,0.000724739760418861,0.513990083609585,0.513990083609585,0,4
"47",8,"audio","Task B ",1,1,1,0,4e-05,1,245.7287812,0,0.247562782322957,1,0.002500631249111,0.000785811104344946,0.239106918616298,0.760893081383702,0,4
"48",8,"audio","Task B ",1,1,0,0,9e-05,2,45.79941394,0,2.73185042611148,2,1.07027062597464e-16,0.000114758115686082,0.999999999999067,0.999999999999067,0,4
"49",9,"audio","Task B ",1,1,0,0,9e-05,2,27.2884009,0,-1.20345479498118,2,7.11757241596096e-06,0.000544767012372931,0.987103150527961,0.987103150527961,0,4
"50",9,"audio","Task B ",1,1,1,0,9e-05,1,312.6419062,0,-0.266262712448507,2,0.00234288168816001,0.000782617321031201,0.250397558511375,0.749602441488625,0,4
"51",9,"audio","Task B ",1,2,1,0,0.00041,1,96.05646199,0,-0.124980047196685,4,0.00297145902196312,0.000794329455179532,0.210933104713901,0.789066895286099,0,3
"52",9,"audio","Task B ",1,1,0,0,9e-05,2,101.6967958,0,1.43937373457074,2,5.99416041735839e-07,0.000466711047070856,0.998717306610806,0.998717306610806,0,4
"53",9,"audio","Task B ",1,2,1,0,0.00041,1,113.0952908,0,0.281897922255016,4,0.00232173825093032,0.000782174020000912,0.251996175061432,0.748003824938568,0,3
"54",9,"audio","Task B ",1,1,0,0,0.00041,2,357.3779002,0,-1.15047684324321,4,1.20109387310042e-05,0.000562877148479652,0.979107344545473,0.979107344545473,0,4
"55",10,"audio","Task B ",1,1,1,0,9e-05,1,42.97345238,0,0.208024659869601,2,0.00269075930814299,0.000789418384636105,0.226832781060014,0.773167218939986,0,4
"56",10,"audio","Task B ",1,1,1,0,9e-05,1,164.86685,0,-0.236336723249356,2,0.00249836846568115,0.000785766643696168,0.239261363350289,0.760738636649711,0,4
"57",10,"audio","Task B ",1,1,0,0,0.00041,2,318.1698315,0,0.568212526543654,4,0.000852180282247706,0.000734680098865142,0.462977151367229,0.537022848632771,0,4
"58",10,"audio","Task B ",1,1,1,0,0.00019,1,166.3380137,0,-0.104925056364763,3,0.00303217798061022,0.00079533432530717,0.207794060930274,0.792205939069726,0,4
"59",10,"audio","Task B ",1,1,0,0,4e-05,2,129.4905362,0,-1.31786603230366,1,2.12249846038717e-06,0.000505089127087661,0.995815359204171,0.995815359204171,0,4
"60",10,"audio","Task B ",1,1,0,0,0.00041,2,186.134905,0,-0.740006012617136,4,0.000312841016331434,0.000690077374854535,0.688069319417411,0.688069319417411,0,4
"61",1,"audio","Task B ",2,3,1,0,4e-05,2,329.6592968,0,-1.82482631243184,1,2.67432788763887e-09,0.000332767553657212,0.999991963440047,0.999991963440047,0,7
