subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,cat1_evidence,cat2_evidence,evi_cat2,evi_allcat,visual_mostevidence,r
5,bimodal,Task B ,2,4,1,1.627768464,3,2,47.46435369,5,-0.404890934,3,3.29E-09,1.27E-05,0.999741132,0.999741132,0,8
5,bimodal,Task B ,1,3,0,-0.587674594,3,2,352.4169892,6,0.250555888,3,7.96E-05,2.39E-05,0.230915026,0.769084974,1,2
6,bimodal,Task B ,2,1,0,-0.27297239,3,1,14.72202447,1,-0.611353431,3,6.56E-05,2.36E-05,0.264669742,0.735330258,0,5
6,bimodal,Task B ,2,2,1,1.804886609,3,2,322.9404933,2,0.223823093,3,4.20E-10,1.12E-05,0.999962444,0.999962444,0,6
6,bimodal,Task B ,2,2,1,-3.300094323,3,2,57.59785902,3,-2.86912489,3,9.53E-39,1.81E-07,1,1,0,6
6,bimodal,Task B ,1,2,0,0.348185455,2,2,130.8495824,4,-3.502069328,2,8.60E-27,1.01E-06,1,1,1,3
6,bimodal,Task B ,1,1,0,0.511202872,3,2,351.2439314,5,2.100181552,3,1.12E-12,7.72E-06,0.999999855,0.999999855,1,4
6,bimodal,Task B ,2,2,1,-0.712464651,4,2,173.0403396,6,-1.761972103,4,1.11E-10,1.03E-05,0.999989238,0.999989238,1,6
7,bimodal,Task B ,1,4,1,-0.27088729,1,1,94.73237214,1,0.458658723,1,0.000129747,2.46E-05,0.159555759,0.840444241,0,1
7,bimodal,Task B ,1,1,1,0.705541117,1,1,283.2236095,2,-0.280640156,1,3.74E-05,2.28E-05,0.378829705,0.621170295,1,4
7,bimodal,Task B ,2,1,1,0.016757023,3,2,0.178661658,3,-2.85344857,3,5.17E-19,3.10E-06,1,1,1,5
7,bimodal,Task B ,1,4,1,-0.273404607,4,1,172.0722115,4,-0.519849372,4,0.000101312,2.43E-05,0.193158738,0.806841262,0,1
7,bimodal,Task B ,2,4,1,-1.246589493,3,2,122.0129523,5,1.979351789,3,4.56E-14,6.32E-06,0.999999993,0.999999993,1,8
7,bimodal,Task B ,1,4,0,-0.326052564,4,2,254.3815515,6,2.822155549,4,6.73E-19,3.15E-06,1,1,1,1
8,bimodal,Task B ,1,4,1,-0.204349586,4,1,337.6644124,1,0.063454088,4,0.000353956,2.62E-05,0.068984144,0.931015856,1,1
8,bimodal,Task B ,1,4,1,-0.379087491,3,1,94.67374789,2,-0.514155798,3,7.84E-05,2.39E-05,0.233415185,0.766584815,0,1
8,bimodal,Task B ,2,1,1,0.135471236,1,2,180.4623427,3,-1.426614711,1,7.37E-08,1.54E-05,0.995248049,0.995248049,1,5
8,bimodal,Task B ,1,4,0,0.450061215,3,2,235.2554807,4,1.598655792,3,3.63E-09,1.28E-05,0.9997162,0.9997162,1,1
8,bimodal,Task B ,1,4,1,-0.227122783,3,1,242.5554892,5,-0.109738739,3,0.000329492,2.61E-05,0.073423336,0.926576664,1,1
8,bimodal,Task B ,1,4,1,0.274186583,3,1,182.9987626,6,0.45158076,3,0.00012896,2.46E-05,0.160322433,0.839677567,0,1
9,bimodal,Task B ,2,3,1,-1.058122527,2,2,249.6404028,1,-1.562525468,2,1.45E-10,1.05E-05,0.999986113,0.999986113,1,7
9,bimodal,Task B ,1,1,0,1.008379524,3,2,159.9931641,2,1.415318258,3,1.24E-09,1.20E-05,0.999896193,0.999896193,1,4
9,bimodal,Task B ,1,1,1,-0.162619397,4,1,115.7201502,3,0.065334977,4,0.000376054,2.63E-05,0.065425753,0.934574247,1,4
9,bimodal,Task B ,2,2,1,1.844441274,3,2,300.3097855,4,0.099245764,3,2.73E-10,1.09E-05,0.999974903,0.999974903,0,6
9,bimodal,Task B ,2,2,1,1.097225837,4,2,117.4136781,5,-0.947458217,4,6.21E-08,1.53E-05,0.995952186,0.995952186,0,6
9,bimodal,Task B ,1,1,1,0.265774865,3,1,146.0297732,6,-0.023958352,3,0.000311837,2.60E-05,0.077013977,0.922986023,1,4
10,bimodal,Task B ,1,1,1,0.384106095,1,1,147.2541764,1,-0.075192064,1,0.000220671,2.55E-05,0.10345303,0.89654697,1,4
10,bimodal,Task B ,1,2,1,0.509032179,1,1,356.4034864,2,-0.032754936,1,0.000140655,2.48E-05,0.149667114,0.850332886,1,3
10,bimodal,Task B ,1,2,1,0.024544307,2,1,92.17348065,3,-0.142947135,2,0.000388478,2.64E-05,0.063586992,0.936413008,0,3
10,bimodal,Task B ,1,1,1,-0.00308819,1,1,33.15011013,4,0.295062035,1,0.000292908,2.59E-05,0.081292165,0.918707835,0,4
10,bimodal,Task B ,2,2,1,2.764454886,3,2,328.9882145,5,1.20394084,3,1.34E-20,2.47E-06,1,1,0,6
10,bimodal,Task B ,1,1,1,-0.224398403,3,1,257.3181426,6,-0.535930203,3,0.000104134,2.43E-05,0.189175462,0.810824538,0,4
1,bimodal,Task B ,1,3,0,-0.744551779,3,2,305.6563246,1,0.78786609,3,3.17E-06,1.95E-05,0.860224202,0.860224202,1,2
1,bimodal,Task B ,1,2,1,-0.335725358,2,1,154.8768245,2,-0.647758419,2,4.63E-05,2.31E-05,0.332940152,0.667059848,0,3
1,bimodal,Task B ,1,3,1,-0.481948176,2,1,209.4821871,3,0.022609437,2,0.000165105,2.50E-05,0.131532811,0.868467189,1,2
1,bimodal,Task B ,2,1,1,0.709852234,2,2,207.0404256,4,1.84244193,2,2.97E-11,9.47E-06,0.999996869,0.999996869,1,5
1,bimodal,Task B ,2,1,0,-0.280480971,2,1,286.5431819,5,0.186235759,2,0.000267398,2.58E-05,0.08790454,0.91209546,1,5
1,bimodal,Task B ,1,3,1,-0.225625994,4,1,14.82995033,6,0.482122322,4,0.000129451,2.46E-05,0.159842697,0.840157303,0,2
2,bimodal,Task B ,1,2,1,-0.344524624,4,1,53.00501853,1,-0.380477663,4,0.000143629,2.48E-05,0.147187763,0.852812237,0,3
2,bimodal,Task B ,1,3,1,-0.273246334,4,1,56.44585214,2,-0.215609997,4,0.000259743,2.57E-05,0.090112411,0.909887589,1,2
2,bimodal,Task B ,2,1,0,-0.004668401,1,1,357.2549484,3,-0.27847326,1,0.00030688,2.60E-05,0.078088653,0.921911347,0,5
2,bimodal,Task B ,1,2,1,0.424497842,1,1,206.6495135,4,-0.222292532,1,0.000160142,2.50E-05,0.134836547,0.865163453,1,3
2,bimodal,Task B ,1,2,1,0.129870328,3,1,167.8822868,5,-0.126123726,3,0.000368198,2.63E-05,0.066646382,0.933353618,1,3
2,bimodal,Task B ,1,3,1,0.201733839,3,1,109.4525446,6,-0.03553726,3,0.00035321,2.62E-05,0.069111232,0.930888768,1,2
3,bimodal,Task B ,1,3,1,-0.143801822,4,1,339.728474,1,-0.072386962,4,0.000383838,2.64E-05,0.06426105,0.93573895,1,2
3,bimodal,Task B ,2,1,0,0.751945043,1,1,352.5583532,2,0.250710075,1,2.99E-05,2.25E-05,0.428850834,0.571149166,1,5
3,bimodal,Task B ,1,3,1,-0.297828168,2,1,94.02548362,3,0.010425926,2,0.000297622,2.59E-05,0.080181325,0.919818675,1,2
3,bimodal,Task B ,2,1,1,1.236904643,2,2,70.57078664,4,-0.962730223,2,1.41E-08,1.39E-05,0.998989381,0.998989381,0,5
3,bimodal,Task B ,2,1,1,-0.397649566,3,2,335.2785733,5,2.229157559,3,1.70E-13,6.86E-06,0.999999975,0.999999975,1,5
3,bimodal,Task B ,2,3,1,1.618497544,4,2,352.0254036,6,1.672706357,4,5.41E-14,6.39E-06,0.999999992,0.999999992,1,7
4,bimodal,Task B ,1,3,1,-0.391822031,4,1,292.034278,1,-0.164734056,4,0.000204177,2.53E-05,0.110405744,0.889594256,1,2
4,bimodal,Task B ,1,1,1,-0.046151879,2,1,13.23312012,2,0.077961478,2,0.000410503,2.65E-05,0.060577158,0.939422842,0,4
4,bimodal,Task B ,1,3,1,-0.016459323,4,1,295.5481626,3,0.371043848,4,0.000236255,2.56E-05,0.097668322,0.902331678,0,2
4,bimodal,Task B ,1,1,1,-0.000639225,1,1,149.902906,4,0.066135179,1,0.000416293,2.65E-05,0.059834207,0.940165793,0,4
4,bimodal,Task B ,1,3,1,-0.267634012,4,1,110.4541453,5,0.282690177,4,0.000227093,2.55E-05,0.100985248,0.899014752,0,2
4,bimodal,Task B ,2,1,1,1.547047149,2,2,324.2006449,6,-1.638807109,2,2.31E-13,6.99E-06,0.999999967,0.999999967,1,5
5,bimodal,Task B ,1,2,0,-0.890348521,4,2,99.65705743,1,-0.430595376,4,7.56E-06,2.06E-05,0.731649908,0.731649908,0,3
5,bimodal,Task B ,2,4,1,-1.882856221,1,2,274.2909293,2,0.722149446,1,2.06E-11,9.26E-06,0.999997774,0.999997774,0,8
5,bimodal,Task B ,2,4,1,-1.158654954,2,2,201.9936776,3,1.871377443,2,6.33E-13,7.45E-06,0.999999915,0.999999915,1,8
5,bimodal,Task B ,1,2,0,-1.012626465,2,2,67.4634454,4,0.95038559,2,1.38E-07,1.61E-05,0.991495375,0.991495375,0,3
5,bimodal,Task B ,2,4,1,0.697309797,3,2,275.4368179,5,1.744678367,3,1.40E-10,1.04E-05,0.999986541,0.999986541,1,8
5,bimodal,Task B ,1,2,1,-0.175801967,1,1,160.245314,6,-0.256442511,1,0.000285958,2.59E-05,0.082989364,0.917010636,0,3
6,bimodal,Task B ,2,1,0,0.215145017,2,1,51.41086721,1,0.456722925,2,0.00014295,2.48E-05,0.147746266,0.852253734,0,5
6,bimodal,Task B ,2,2,0,-0.185381201,3,1,199.2328869,2,0.120250454,3,0.000348727,2.62E-05,0.069885746,0.930114254,1,6
6,bimodal,Task B ,1,2,1,-0.374633863,1,1,341.2073903,3,-0.82568054,1,1.37E-05,2.14E-05,0.609820618,0.609820618,1,3
6,bimodal,Task B ,1,2,0,0.11581306,1,2,210.1607295,4,-0.534178977,1,0.000120398,2.45E-05,0.169183014,0.830816986,0,3
6,bimodal,Task B ,2,2,1,-0.821070356,4,2,189.3855754,5,-0.350655164,4,1.60E-05,2.16E-05,0.574011029,0.574011029,0,6
6,bimodal,Task B ,2,2,1,2.056823175,4,2,125.5706328,6,-0.543464745,4,2.62E-12,8.14E-06,0.999999679,0.999999679,0,6
7,bimodal,Task B ,1,1,0,0.801698637,3,2,116.7408482,1,-1.153144091,3,1.05E-07,1.58E-05,0.993409648,0.993409648,1,4
7,bimodal,Task B ,2,1,1,-3.114141823,3,2,318.9479645,2,0.037524217,3,1.59E-21,2.16E-06,1,1,0,5
7,bimodal,Task B ,1,1,1,0.175535501,2,1,202.6582766,3,0.127409715,2,0.000345272,2.62E-05,0.07049488,0.92950512,1,4
7,bimodal,Task B ,1,1,1,0.349863187,3,1,279.0837948,4,-0.152533945,3,0.000227962,2.55E-05,0.100660769,0.899339231,1,4
7,bimodal,Task B ,1,1,1,-0.418187692,1,1,233.9011789,5,-0.714285102,1,2.45E-05,2.22E-05,0.475349739,0.524650261,0,4
7,bimodal,Task B ,1,4,1,-0.174710693,3,1,55.43005846,6,0.200883754,3,0.000317198,2.60E-05,0.075885697,0.924114303,0,1
8,bimodal,Task B ,2,4,0,0.354013841,4,1,284.0052925,1,0.248524637,4,0.000190539,2.52E-05,0.116934142,0.883065858,1,8
8,bimodal,Task B ,1,4,0,0.653014322,3,2,328.2807007,2,2.616214263,3,1.93E-17,3.89E-06,1,1,1,1
8,bimodal,Task B ,1,4,1,-0.135780188,4,1,299.9945208,3,0.111333378,4,0.000374988,2.63E-05,0.065588671,0.934411329,1,1
8,bimodal,Task B ,2,1,1,0.656487412,4,2,320.0717278,4,0.952329271,4,1.48E-06,1.86E-05,0.926464195,0.926464195,1,5
8,bimodal,Task B ,1,1,1,0.329017209,3,1,227.0659599,5,-0.329882348,3,0.000168976,2.50E-05,0.129071141,0.870928859,1,4
8,bimodal,Task B ,1,4,1,0.0811923,2,1,169.4440402,6,0.09027488,2,0.000396995,2.64E-05,0.062387094,0.937612906,0,1
9,bimodal,Task B ,1,2,0,0.430546149,2,2,3.627312866,1,-0.266961816,2,0.000142957,2.48E-05,0.147740573,0.852259427,1,3
9,bimodal,Task B ,1,1,1,-0.010425842,1,1,147.7725952,2,0.005937792,1,0.00042428,2.65E-05,0.058839857,0.941160143,0,4
9,bimodal,Task B ,2,3,1,0.609868287,3,2,41.23086767,3,2.553637966,3,9.48E-17,4.30E-06,1,1,1,7
9,bimodal,Task B ,1,2,0,0.68728499,2,2,106.9869994,4,1.149814725,2,2.15E-07,1.65E-05,0.987144727,0.987144727,1,3
9,bimodal,Task B ,1,2,1,0.695755793,3,1,157.799497,5,-0.322828766,3,3.56E-05,2.27E-05,0.389831843,0.610168157,1,3
9,bimodal,Task B ,1,2,1,0.28040428,3,1,143.7237691,6,-0.146379543,3,0.000276428,2.58E-05,0.085439952,0.914560048,1,3
10,bimodal,Task B ,1,1,0,-0.845668169,1,2,357.8056783,1,0.854870444,1,1.03E-06,1.82E-05,0.946591493,0.946591493,1,4
10,bimodal,Task B ,1,1,0,1.547978296,1,2,336.0778286,2,-2.483344729,1,9.57E-20,2.79E-06,1,1,1,4
10,bimodal,Task B ,1,1,1,0.247545044,1,1,238.9174118,3,0.270503087,1,0.000238044,2.56E-05,0.097046914,0.902953086,0,4
