subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,r
9,grate,Task B ,1,3,1,0.5122478,0.135,1,305.9099738,0,0,4,2
9,grate,Task B ,1,1,1,0.448134223,0.033,1,223.5538285,0,0,1,4
9,grate,Task B ,1,4,0,-0.109177443,0.067,2,143.4056159,0,0,3,1
9,grate,Task B ,1,2,0,1.032884088,0.05,2,319.0759002,0,0,2,3
10,grate,Task B ,1,2,1,0.685875915,0.067,1,217.6724037,0,0,3,3
10,grate,Task B ,1,1,1,0.510027674,0.033,1,273.604983,0,0,1,4
10,grate,Task B ,1,1,1,0.159602765,0.135,1,211.2347472,0,0,4,4
10,grate,Task B ,1,2,1,0.278367114,0.05,1,294.2293916,0,0,2,3
10,grate,Task B ,2,1,1,-1.478902945,0.135,2,342.3215551,0,0,4,5
10,grate,Task B ,1,2,1,0.024693503,0.067,1,343.6033522,0,0,3,3
1,grate,Task B ,1,3,0,-0.98017031,0.067,2,307.4622781,0,0,3,2
1,grate,Task B ,1,4,1,-0.165695287,0.135,1,75.36425493,0,0,4,1
1,grate,Task B ,1,1,0,-1.152764983,0.05,2,229.278103,0,0,2,4
1,grate,Task B ,1,2,0,0.55043133,0.135,2,21.84581493,0,0,4,3
1,grate,Task B ,2,1,0,0.679495908,0.05,1,42.78876514,0,0,2,5
1,grate,Task B ,2,4,1,-1.970792837,0.135,2,118.3769743,0,0,4,8
2,grate,Task B ,1,1,0,0.068580651,0.033,2,261.61094,0,0,1,4
2,grate,Task B ,1,1,1,-0.334160893,0.033,1,304.883747,0,0,1,4
2,grate,Task B ,1,1,0,1.54489068,0.033,2,301.0843768,0,0,1,4
2,grate,Task B ,1,1,1,0.084970215,0.033,1,52.95414777,0,0,1,4
2,grate,Task B ,1,1,0,-2.124932611,0.033,2,80.65560653,0,0,1,4
2,grate,Task B ,2,2,0,0.50928507,0.067,1,38.76505571,0,0,3,6
3,grate,Task B ,1,1,0,-1.708003338,0.033,2,178.0915552,0,0,1,4
3,grate,Task B ,2,2,1,-1.407771165,0.033,2,3.41530268,0,0,1,6
