subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,r
2,audio,Task B ,2,1,1,0,0.00019,2,241.1353301,0,-0.025790961,3,5
2,audio,Task B ,1,2,0,0,0.00019,2,336.0814969,0,1.304275999,3,3
2,audio,Task B ,1,1,1,0,4.00E-05,1,23.44009215,0,-0.239728593,1,4
2,audio,Task B ,1,2,0,0,9.00E-05,2,190.6542831,0,0.222531015,2,3
2,audio,Task B ,1,3,1,0,0.00019,1,269.9679015,0,-0.083864296,3,2
2,audio,Task B ,1,2,0,0,0.00041,2,166.9142048,0,0.010544959,4,3
3,audio,Task B ,2,4,1,0,0.00019,2,306.2741127,0,2.248031338,3,8
3,audio,Task B ,1,1,0,0,4.00E-05,2,103.3528135,0,-0.671298547,1,4
3,audio,Task B ,1,3,1,0,4.00E-05,1,175.6012921,0,0.357429383,1,2
3,audio,Task B ,2,4,1,0,0.00019,2,16.81725284,0,-1.700194108,3,8
3,audio,Task B ,2,2,0,0,9.00E-05,1,154.6767457,0,0.438870704,2,6
3,audio,Task B ,1,2,0,0,0.00019,2,140.8015165,0,0.603093019,3,3
4,audio,Task B ,2,2,1,0,0.00041,2,170.6290153,0,2.06861913,4,6
4,audio,Task B ,1,2,1,0,0.00041,1,174.8113215,0,0.213884598,4,3
4,audio,Task B ,1,1,0,0,9.00E-05,2,73.40202847,0,0.125950844,2,4
4,audio,Task B ,1,1,0,0,4.00E-05,2,276.931116,0,-0.545317767,1,4
4,audio,Task B ,1,3,1,0,0.00041,1,255.3593644,0,0.144125734,4,2
4,audio,Task B ,1,3,1,0,0.00019,1,254.971243,0,0.099085102,3,2
5,audio,Task B ,1,3,1,0,0.00041,1,178.4943046,0,0.12169492,4,2
5,audio,Task B ,1,4,1,0,0.00041,1,221.0952473,0,0.198578366,4,1
5,audio,Task B ,2,3,1,0,0.00041,2,219.4383825,0,2.32178282,4,7
5,audio,Task B ,2,2,1,0,0.00041,2,85.57632081,0,-0.940507667,4,6
5,audio,Task B ,2,4,1,0,0.00019,2,98.17751977,0,-2.960091614,3,8
5,audio,Task B ,2,4,1,0,0.00041,2,119.4479452,0,2.829512409,4,8
6,audio,Task B ,1,3,0,0,0.00019,2,337.4767851,0,-1.379247893,3,2
6,audio,Task B ,2,3,1,0,0.00041,2,10.20138703,0,-0.264865468,4,7
6,audio,Task B ,1,2,0,0,0.00019,2,156.0500426,0,-0.729832847,3,3
6,audio,Task B ,2,2,1,0,9.00E-05,2,270.3714851,0,-1.354419998,2,6
6,audio,Task B ,1,2,0,0,4.00E-05,2,12.13297716,0,1.890152905,1,3
6,audio,Task B ,2,3,1,0,0.00019,2,143.7454934,0,-0.935917051,3,7
7,audio,Task B ,1,1,1,0,4.00E-05,1,107.9103553,0,-0.353292347,1,4
7,audio,Task B ,1,1,1,0,9.00E-05,1,348.0492874,0,0.230950657,2,4
7,audio,Task B ,1,1,1,0,4.00E-05,1,191.2109972,0,-0.453080147,1,4
7,audio,Task B ,1,1,1,0,0.00041,1,133.0619592,0,3.22E-06,4,4
7,audio,Task B ,1,1,0,0,4.00E-05,2,199.8846072,0,-0.062648355,1,4
7,audio,Task B ,1,4,1,0,9.00E-05,1,80.4496936,0,0.193157974,2,1
8,audio,Task B ,1,2,0,0,0.00041,2,24.76487511,0,-1.396277671,4,3
8,audio,Task B ,1,1,1,0,9.00E-05,1,186.1808757,0,-0.207011494,2,4
8,audio,Task B ,2,1,0,0,4.00E-05,1,343.7141308,0,0.208433651,1,5
8,audio,Task B ,1,1,1,0,9.00E-05,1,321.5547442,0,0.308414532,2,4
8,audio,Task B ,1,1,0,0,0.00019,2,179.0601029,0,-1.019820465,3,4
8,audio,Task B ,1,2,1,0,0.00019,1,125.2725066,0,0.518825961,3,3
9,audio,Task B ,1,1,1,0,0.00019,1,330.6270988,0,-0.243595481,3,4
9,audio,Task B ,2,4,1,0,0.00041,2,25.30695009,0,1.126486244,4,8
9,audio,Task B ,1,1,1,0,0.00019,1,214.4553325,0,-0.186646189,3,4
9,audio,Task B ,1,1,0,0,4.00E-05,2,312.9595873,0,2.120773333,1,4
9,audio,Task B ,1,1,1,0,0.00019,1,70.33078134,0,-0.72726833,3,4
9,audio,Task B ,1,1,1,0,9.00E-05,1,150.2795712,0,-0.359386765,2,4
10,audio,Task B ,1,1,1,0,9.00E-05,1,344.9601563,0,-0.215111886,2,4
10,audio,Task B ,1,1,0,0,9.00E-05,2,126.7195017,0,0.007228949,2,4
10,audio,Task B ,2,1,0,0,0.00041,1,274.725001,0,0.206870044,4,5
10,audio,Task B ,1,1,1,0,0.00019,1,124.0374547,0,0.060377661,3,4
10,audio,Task B ,1,2,1,0,0.00019,1,138.5812668,0,-0.349542037,3,3
10,audio,Task B ,1,1,1,0,4.00E-05,1,106.1311978,0,-0.034423123,1,4
1,audio,Task B ,2,3,1,0,4.00E-05,2,53.13720407,0,-2.586986708,1,7
1,audio,Task B ,1,2,1,0,0.00019,1,36.54282888,0,-0.049102949,3,3
1,audio,Task B ,2,4,1,0,0.00041,2,109.7722742,0,-1.0843339,4,8
1,audio,Task B ,2,1,1,0,9.00E-05,2,16.34885549,0,-0.471559959,2,5
1,audio,Task B ,1,2,1,0,0.00019,1,114.5228057,0,0.251761359,3,3
1,audio,Task B ,1,2,0,0,9.00E-05,2,348.1987365,0,0.89550691,2,3
2,audio,Task B ,2,1,1,0,0.00019,2,26.49982536,0,-0.969041705,3,5
2,audio,Task B ,2,1,0,0,0.00041,1,89.98792724,0,-0.327093049,4,5
2,audio,Task B ,1,3,0,0,4.00E-05,2,290.2120527,0,0.373569496,1,2
2,audio,Task B ,1,1,0,0,4.00E-05,2,224.415097,0,-0.932018602,1,4
2,audio,Task B ,2,2,0,0,0.00041,1,126.3202374,0,-0.195716796,4,6
2,audio,Task B ,1,2,1,0,4.00E-05,1,126.2821522,0,0.7807372,1,3
3,audio,Task B ,2,4,1,0,9.00E-05,2,70.83671944,0,-1.864632551,2,8
3,audio,Task B ,2,4,1,0,0.00041,2,6.919552583,0,-0.642317153,4,8
3,audio,Task B ,1,1,1,0,9.00E-05,1,255.2848362,0,-0.499313488,2,4
3,audio,Task B ,2,2,0,0,9.00E-05,1,104.3504518,0,0.731040142,2,6
3,audio,Task B ,1,3,1,0,9.00E-05,1,127.6816569,0,0.006268615,2,2
3,audio,Task B ,2,2,1,0,0.00019,2,136.6595221,0,-1.007580285,3,6
4,audio,Task B ,1,1,0,0,4.00E-05,2,96.40913806,0,-1.60609958,1,4
4,audio,Task B ,1,3,0,0,0.00019,2,171.6245368,0,0.140573017,3,2
4,audio,Task B ,1,2,1,0,9.00E-05,1,333.5849354,0,0.216165167,2,3
4,audio,Task B ,1,1,0,0,4.00E-05,2,100.5554234,0,-0.057452628,1,4
4,audio,Task B ,1,3,1,0,0.00019,1,302.9112244,0,0.171968329,3,2
4,audio,Task B ,1,1,0,0,4.00E-05,2,327.0153007,0,1.278354294,1,4
